season,team_id,team_name,games,pass_att,completions,pass_yards,pass_td,interceptions,rush_att,rush_yards,rush_td,yards_per_reception,td_per_reception,qb_rush,rb_rush,other_rush,model_version
2026,CFF_BC,Boston College,12.0,407.1326,257.888,3088.2989,22.6002,9.8701,408.2416,1625.8688,19.2487,11.9754,0.0876,103.7529,292.0395,12.4492,v1.0
2026,CFF_CAL,California,12.0,424.9931,271.9228,3074.7818,18.7735,8.9216,387.8191,1419.7301,18.6581,11.3076,0.069,82.9286,284.4805,20.41,v1.0
2026,CFF_CLEM,Clemson,12.0,434.7663,277.314,3237.8074,24.0907,8.8358,388.7327,1731.3124,19.0441,11.6756,0.0869,104.1031,257.2047,27.4249,v1.0
2026,CFF_DUKE,Duke,12.0,426.9381,264.1518,3219.379,23.0577,9.7011,382.4079,1542.8773,18.4172,12.1876,0.0873,55.7468,312.0733,14.5878,v1.0
2026,CFF_FSU,Florida State,12.0,348.0834,203.4173,2518.7162,15.2863,8.6008,462.544,1998.4353,21.2633,12.382,0.0751,107.8204,331.7987,22.9249,v1.0
2026,CFF_GT,Georgia Tech,12.0,368.2455,240.2231,2833.3183,17.8859,7.992,432.3057,2145.2584,23.6429,11.7945,0.0745,137.9757,266.9513,27.3787,v1.0
2026,CFF_LOU,Louisville,12.0,386.5342,246.1005,2918.6991,20.4672,8.4431,391.2163,1996.0589,21.576,11.8598,0.0832,77.1686,269.212,44.8357,v1.0
2026,CFF_MIA,Miami,12.0,391.1673,261.4259,3139.7988,24.7836,7.8751,416.6874,1949.9063,22.2436,12.0103,0.0948,66.8506,325.6808,24.156,v1.0
2026,CFF_UNC,North Carolina,12.0,359.6135,225.5572,2605.152,17.5026,8.1643,379.5259,1568.832,17.248,11.5499,0.0776,93.9621,274.0513,11.5125,v1.0
2026,CFF_NCSU,NC State,12.0,375.1918,248.4928,2893.3854,21.5262,9.8121,392.5898,1765.7657,20.7861,11.6437,0.0866,117.7986,259.9251,14.866,v1.0
2026,CFF_PITT,Pitt,12.0,430.4181,268.6282,3196.7937,24.6036,12.2149,397.317,1583.2932,17.9075,11.9004,0.0916,113.6391,267.4054,16.2725,v1.0
2026,CFF_SMU,SMU,12.0,407.3924,265.3342,3253.3331,23.1618,10.7744,396.135,1744.9072,20.9042,12.2613,0.0873,79.5113,268.4902,48.1335,v1.0
2026,CFF_STAN,Stanford,12.0,380.2278,234.6709,2693.7185,18.6428,11.4232,407.9194,1369.2374,15.1771,11.4787,0.0794,115.1331,276.2824,16.5038,v1.0
2026,CFF_SYR,Syracuse,12.0,438.5172,268.0524,3181.5066,22.225,11.9843,416.7339,1577.2753,19.2241,11.869,0.0829,102.3832,286.9412,27.4096,v1.0
2026,CFF_UVA,Virginia,12.0,411.5553,266.0858,2979.2055,18.8382,11.3818,453.2293,1958.2585,21.1161,11.1964,0.0708,98.4111,332.4785,22.3397,v1.0
2026,CFF_VT,Virginia Tech,12.0,335.8984,212.9517,2449.6056,16.7862,8.3522,436.0911,2053.3195,20.4136,11.5031,0.0788,92.5973,324.3356,19.1582,v1.0
2026,CFF_WAKE,Wake Forest,12.0,381.4475,239.7571,2740.3235,17.8008,9.4376,422.9801,1797.2317,20.2397,11.4296,0.0742,110.0532,290.5852,22.3416,v1.0
2026,CFF_ILL,Illinois,12.0,341.7167,221.0813,2687.7746,18.5792,6.7263,419.557,1738.0745,20.2067,12.1574,0.084,84.4682,230.2552,104.8336,v1.0
2026,CFF_IND,Indiana,12.0,318.505,211.2181,2644.9004,23.051,7.6382,470.3228,2241.4524,26.0984,12.5221,0.1091,77.4647,376.8906,15.9675,v1.0
2026,CFF_IOWA,Iowa,12.0,267.9671,169.4788,1897.5971,12.9296,7.0966,460.2142,2154.4065,24.3527,11.1967,0.0763,106.2908,333.2337,20.6897,v1.0
2026,CFF_MD,Maryland,12.0,479.8645,288.876,3175.7859,21.4182,11.0979,331.6633,1347.2885,13.7713,10.9936,0.0741,74.5808,246.4521,10.6305,v1.0
2026,CFF_MICH,Michigan,12.0,327.6333,198.8783,2225.8171,13.8241,9.7544,442.8561,2183.2196,22.6017,11.1919,0.0695,85.9669,338.5263,18.3629,v1.0
2026,CFF_MSU,Michigan State,12.0,371.1,233.0842,2720.2118,18.5558,9.0471,398.797,1602.9486,17.288,11.6705,0.0796,107.1687,270.413,21.2153,v1.0
2026,CFF_MINN,Minnesota,12.0,371.732,236.9698,2477.4593,18.6661,7.4671,359.3116,1380.0393,16.5126,10.4547,0.0788,46.6517,298.2653,14.3945,v1.0
2026,CFF_NEB,Nebraska,12.0,363.8027,241.6837,2701.0998,18.5657,8.4908,411.8713,1749.6043,19.8976,11.1762,0.0768,80.0667,301.6391,30.1655,v1.0
