id,name,team,position,aliases
mlb-0001,Aaron Judge,NYY,RF,
mlb-0002,Juan Soto,NYY,RF,
mlb-0003,Gerrit Cole,NYY,SP,
mlb-0004,Clay Holmes,NYY,RP,
mlb-0005,Anthony Volpe,NYY,SS,
mlb-0006,Giancarlo Stanton,NYY,DH,
mlb-0007,Mookie Betts,LAD,SS,
mlb-0008,Shohei Ohtani,LAD,DH,
mlb-0009,Freddie Freeman,LAD,1B,
mlb-0010,Tyler Glasnow,LAD,SP,
mlb-0011,Evan Phillips,LAD,RP,
mlb-0012,Ronald Acuna Jr.,ATL,RF,Ronald Acuña Jr.|Ronald Acuna|Ronald Acuña
mlb-0013,Matt Olson,ATL,1B,
mlb-0014,Spencer Strider,ATL,SP,
mlb-0015,Raisel Iglesias,ATL,RP,Raisel Iglesías
mlb-0016,Bryce Harper,PHI,1B,
mlb-0017,Trea Turner,PHI,SS,
mlb-0018,Zack Wheeler,PHI,SP,
mlb-0019,Jose Alvarado,PHI,RP,José Alvarado
mlb-0020,Bo Naylor,ATL,C,
mlb-0021,Josh Naylor,ATL,1B,
