id,name,team,position,aliases,espn_id,rank,depth_pos,depth_order,injury_status,years_exp,age,adp,adp_stdev
nfl-3207,Andrew Billings,ARI,DT,,3051775,9999999,NT,2,,10,31,,
nfl-6416,Andrew Wingard,ARI,DB,,3918331,999,FS,1,,7,29,,
nfl-12948,Austin Keys,ARI,LB,,,9999999,LILB,3,,1,24,,
nfl-10908,BJ Ojulari,ARI,DE,B.J. Ojulari,,9999999,ROLB,2,,3,24,,
nfl-7681,Baron Browning,ARI,LB,,,9999999,LOLB,2,,5,27,,
nfl-7467,Blake Gillikin,ARI,P,,4045180,9999999,P,,,6,28,,
nfl-10928,Brodric Martin-Rhodes,ARI,DT,,,9999999,NT,3,,3,27,,
nfl-12799,Bryson Green,ARI,WR,,,9999999,WR,10,,1,23,,
nfl-4081,Budda Baker,ARI,DB,,3127287,205,SS,1,,9,30,,
nfl-13058,Cam Horsley,ARI,DT,,,9999999,DL,,,1,24,,
nfl-13840,Cameron Robertson,ARI,DE,,,9999999,LB,,,0,22,,
nfl-13272,Carson Beck,ARI,QB,,,416,QB,3,,0,23,,
nfl-2063,Casey Kreiter,ARI,LS,,17304,9999999,LS,,,12,35,,
nfl-10955,Chad Ryland,ARI,K,,,324,K,1,,3,26,,
nfl-13459,Chase Bisontis,ARI,G,,,9999999,OL,,,0,22,,
nfl-11768,Christian Jones,ARI,OL,,,9999999,OL,,,2,26,,
nfl-12648,Cody Simon,ARI,LB,,,9999999,LILB,1,,1,24,,
nfl-12491,Corey Kiner,ARI,RB,,,999,RB,6,,1,24,,
nfl-11744,Dadrion Taylor-Demerson,ARI,DB,,,9999999,FS,2,,2,25,,
nfl-13671,Damonic Williams,ARI,DT,,,9999999,DL,,,0,21,,
nfl-11015,Dante Stills,ARI,DT,,,9999999,RDE,2,,3,26,,
nfl-11658,Darius Robinson,ARI,DL,,,9999999,RDE,1,,2,24,,
nfl-11444,Demontrey Jacobs,ARI,T,,,9999999,OL,,,3,27,,
nfl-12657,Denzel Burke,ARI,CB,,,9999999,RCB,1,,1,23,,
nfl-6847,Devin Duvernay,ARI,WR,,4039050,999,WR,6,,6,28,,
nfl-11336,Eku Leota,ARI,LB,,,9999999,ROLB,3,,3,27,,
nfl-13845,Elijah Culp,ARI,CB,,,9999999,LCB,4,,0,23,,
nfl-10231,Elijah Higgins,ARI,TE,,,9999999,TE,3,,3,25,,
nfl-11717,Elijah Jones,ARI,DB,,,9999999,RCB,3,,2,26,,
nfl-4592,Elijah Wilkinson,ARI,OL,,3059839,9999999,OL,,,9,31,,
nfl-12451,Elliott Brown,ARI,LB,,,9999999,LB,,,2,28,,
nfl-9220,Evan Hull,ARI,RB,,,999,RB,7,,3,25,,
nfl-6011,Gardner Minshew,ARI,QB,,4038524,999,QB,2,,7,30,,
nfl-10932,Garrett Williams,ARI,DB,,,9999999,NB,1,PUP,3,25,,
nfl-13670,Harrison Wallace,ARI,WR,,,9999999,SWR,,,0,23,,
nfl-12692,Hayden Conner,ARI,OL,,,9999999,OL,,,1,24,,
nfl-6084,Hjalte Froholdt,ARI,G,,3886633,9999999,OL,,,7,29,,
nfl-7559,Ihmir Smith-Marsette,ARI,WR,,,999,WR,11,,5,26,,
nfl-3248,Isaac Seumalo,ARI,G,,2978247,9999999,OL,,,10,32,,
nfl-11718,Isaiah Adams,ARI,OL,,,9999999,OL,,,2,26,,
nfl-5044,Isaiah Oliver,ARI,CB,,3915437,9999999,DB,,,8,29,,
nfl-8680,Jack Gibbens,ARI,LB,,,9999999,LILB,2,,4,27,,
nfl-3257,Jacoby Brissett,ARI,QB,,2578570,201,QB,1,,10,33,160.2,17.4
nfl-11837,Jaden Davis,ARI,DB,,,9999999,DB,,IR,2,25,,
nfl-11034,Jalen Brooks,ARI,WR,,,9999999,WR,8,,3,26,,
